,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Year,Month,Day
478,2024-04-23,9.4,0.4,17.1,0.0,0.0,213.0,10.7,,1019.2,,2024,4,23
479,2024-04-24,13.5,9.3,20.4,0.4,0.0,313.0,12.5,,1012.2,,2024,4,24
480,2024-04-25,8.6,3.7,15.4,0.0,0.0,40.0,10.1,,1025.9,,2024,4,25
481,2024-04-26,9.2,0.4,17.1,0.0,0.0,10.0,8.0,,1030.9,,2024,4,26
482,2024-04-27,9.9,1.5,16.5,0.7,0.0,203.0,11.4,,1031.5,,2024,4,27
483,2024-04-28,16.0,8.7,24.8,1.4,0.0,267.0,6.0,,1020.8,,2024,4,28
484,2024-04-29,20.8,13.7,28.7,0.0,0.0,49.0,7.6,,1015.5,,2024,4,29
485,2024-04-30,13.5,12.6,16.5,2.8,0.0,103.0,12.6,,1014.0,,2024,4,30
486,2024-05-01,16.8,12.6,24.3,1.7,0.0,3.0,5.4,,1013.2,,2024,5,01
487,2024-05-02,17.8,11.5,26.0,0.0,0.0,236.0,10.2,,1014.2,,2024,5,02
488,2024-05-03,14.3,11.5,18.2,0.0,0.0,94.0,8.3,,1021.3,,2024,5,03
489,2024-05-04,13.1,7.1,18.2,0.0,0.0,96.0,8.0,,1026.0,,2024,5,04
490,2024-05-05,10.2,9.3,11.0,16.6,0.0,118.0,6.6,,1024.4,,2024,5,05
491,2024-05-06,17.1,11.0,23.7,0.6,0.0,225.0,6.4,,1014.9,,2024,5,06
492,2024-05-07,19.1,10.4,26.0,0.0,0.0,314.0,6.1,,1008.3,,2024,5,07
493,2024-05-08,20.4,13.2,27.6,5.2,0.0,246.0,9.1,,1002.1,,2024,5,08
494,2024-05-09,16.2,12.1,19.3,0.0,0.0,353.0,6.9,,1006.6,,2024,5,09
495,2024-05-10,11.3,8.7,13.7,13.2,0.0,94.0,9.3,,1009.0,,2024,5,10
496,2024-05-11,11.9,7.1,16.5,0.0,0.0,82.0,8.1,,1010.8,,2024,5,11
497,2024-05-12,10.6,7.1,13.7,0.4,0.0,245.0,6.2,,1013.0,,2024,5,12
498,2024-05-13,13.0,4.3,19.8,0.0,0.0,265.0,5.6,,1017.1,,2024,5,13
499,2024-05-14,18.1,9.8,24.8,0.0,0.0,219.0,9.5,,1015.3,,2024,5,14
500,2024-05-15,17.1,16.0,18.2,15.9,0.0,60.0,8.4,,1010.7,,2024,5,15
501,2024-05-16,16.6,15.4,17.6,9.8,0.0,40.0,15.1,,1007.6,,2024,5,16
502,2024-05-17,18.6,13.7,23.2,0.0,0.0,43.0,7.9,,1014.0,,2024,5,17
503,2024-05-18,17.2,12.1,21.0,0.0,0.0,37.0,7.0,,1015.3,,2024,5,18
504,2024-05-19,18.7,15.4,22.6,0.0,0.0,46.0,12.9,,1015.8,,2024,5,19
505,2024-05-20,18.2,11.0,26.0,0.0,0.0,23.0,5.1,,1016.8,,2024,5,20
506,2024-05-21,21.8,13.2,30.4,0.0,0.0,276.0,6.4,,1014.8,,2024,5,21
507,2024-05-22,23.4,16.0,31.0,0.0,0.0,251.0,10.2,,1013.5,,2024,5,22
508,2024-05-23,22.3,19.3,26.5,14.2,0.0,300.0,6.0,,1011.1,,2024,5,23
509,2024-05-24,21.9,16.0,28.2,0.0,0.0,282.0,6.2,,1010.2,,2024,5,24
510,2024-05-25,20.2,12.6,25.4,0.0,0.0,101.0,6.7,,1011.8,,2024,5,25
511,2024-05-26,23.0,17.6,28.2,0.0,0.0,144.0,7.6,,1012.6,,2024,5,26
512,2024-05-27,20.8,18.7,24.8,18.5,0.0,153.0,12.9,,1010.6,,2024,5,27
513,2024-05-28,21.9,16.0,26.5,0.0,0.0,288.0,13.0,,1006.5,,2024,5,28
514,2024-05-29,19.3,13.2,24.3,3.0,0.0,298.0,9.0,,1012.3,,2024,5,29
515,2024-05-30,16.6,11.5,21.5,18.5,0.0,330.0,10.1,,1014.4,,2024,5,30
516,2024-05-31,17.6,9.3,24.3,0.0,0.0,327.0,11.2,,1019.9,,2024,5,31
517,2024-06-01,19.3,8.7,28.2,0.0,0.0,267.0,9.2,,1020.3,,2024,6,01
518,2024-06-02,21.1,11.5,28.2,0.0,0.0,311.0,5.0,,1016.8,,2024,6,02
519,2024-06-03,23.7,16.5,29.8,0.0,0.0,4.0,4.1,,1013.1,,2024,6,03
520,2024-06-04,21.6,16.0,27.6,0.0,0.0,129.0,7.4,,1015.9,,2024,6,04
521,2024-06-05,21.9,15.4,27.1,0.0,0.0,184.0,9.4,,1012.8,,2024,6,05
522,2024-06-06,23.2,21.5,26.5,10.6,0.0,133.0,7.4,,1001.8,,2024,6,06
523,2024-06-07,21.9,15.4,27.1,0.3,0.0,276.0,6.0,,1002.3,,2024,6,07
524,2024-06-08,19.5,13.2,24.3,0.0,0.0,277.0,11.0,,1007.1,,2024,6,08
525,2024-06-09,18.3,13.2,22.6,2.7,0.0,308.0,7.9,,1003.0,,2024,6,09
526,2024-06-10,18.0,13.2,22.6,0.0,0.0,268.0,10.6,,1004.6,,2024,6,10
527,2024-06-11,17.1,11.0,22.1,0.0,0.0,313.0,9.0,,1013.3,,2024,6,11
528,2024-06-12,18.3,11.5,23.7,0.0,0.0,279.0,6.4,,1016.6,,2024,6,12
529,2024-06-13,21.6,11.5,29.3,0.0,0.0,229.0,11.6,,1015.6,,2024,6,13
530,2024-06-14,22.6,19.3,25.4,9.6,0.0,262.0,7.2,,1011.8,,2024,6,14
531,2024-06-15,21.1,15.4,26.5,0.0,0.0,323.0,10.5,,1015.5,,2024,6,15
532,2024-06-16,18.9,11.5,24.8,0.0,0.0,52.0,5.5,,1023.4,,2024,6,16
533,2024-06-17,22.4,13.7,29.3,0.0,0.0,192.0,9.7,,1022.0,,2024,6,17
534,2024-06-18,26.5,21.0,32.1,0.0,0.0,229.0,9.4,,1023.4,,2024,6,18
535,2024-06-19,26.2,19.8,33.2,0.0,0.0,234.0,8.4,,1026.6,,2024,6,19
536,2024-06-20,27.3,19.3,34.3,0.0,0.0,288.0,8.0,,1024.9,,2024,6,20
537,2024-06-21,26.6,21.5,34.3,11.0,0.0,22.0,5.5,,1021.1,,2024,6,21
538,2024-06-22,26.0,22.6,32.6,24.7,0.0,315.0,6.3,,1016.2,,2024,6,22
539,2024-06-23,26.2,22.6,32.6,6.4,0.0,165.0,11.0,,1006.6,,2024,6,23
540,2024-06-24,23.5,20.4,25.4,0.3,0.0,276.0,15.7,,1003.1,,2024,6,24
541,2024-06-25,24.7,16.0,31.0,0.0,0.0,281.0,10.6,,1011.1,,2024,6,25
542,2024-06-26,26.5,19.8,32.6,9.4,0.0,234.0,11.5,,1007.1,,2024,6,26
543,2024-06-27,23.2,18.7,28.2,9.4,0.0,310.0,10.2,,1008.5,,2024,6,27
544,2024-06-28,20.1,16.0,24.8,0.0,0.0,352.0,7.0,,1020.2,,2024,6,28
545,2024-06-29,21.9,17.1,26.0,1.3,0.0,174.0,13.7,,1020.8,,2024,6,29
